Date,Close,High,Low,Open,Volume,Date_num,H-L,O-C,SMA_7,SMA_17,SMA_30,SD_7,SD_30
2024-04-26,63755.3203125,64789.65625,63322.3984375,64485.37109375,24139372950,739002,1467.2578125,730.05078125,65097.13783482143,65232.683134191175,66902.59348958333,1128.2418304193316,2886.3023233309377
2024-04-27,63419.140625,63898.36328125,62424.71875,63750.98828125,19530783039,739003,1473.64453125,331.84765625,64872.09486607143,64810.99241727941,66658.39973958333,1296.6749453048683,2859.788336838598
2024-04-28,63113.23046875,64321.484375,62793.59765625,63423.515625,17334827993,739004,1527.88671875,310.28515625,64613.03571428572,64402.323069852944,66432.41315104166,1455.3946930881327,2863.2504476102886
2024-04-29,63841.12109375,64174.87890625,61795.45703125,63106.36328125,26635912073,739005,2379.421875,-734.7578125,64184.95591517857,64204.98506433824,66238.94036458334,1085.7476263714616,2834.6200960234123
2024-04-30,60636.85546875,64703.33203125,59120.06640625,63839.41796875,37840840057,739006,5583.265625,3202.5625,63360.61049107143,64017.65464154412,65882.38059895833,1288.8361293063872,2844.415705181539
2024-05-01,58254.01171875,60780.5,56555.29296875,60609.49609375,48439780271,739007,4225.20703125,2355.484375,62500.19810267857,63577.37729779412,65500.776041666664,2236.894889619616,3073.036489456589
2024-05-02,59123.43359375,59602.296875,56937.203125,58253.703125,32711813559,739008,2665.09375,-869.73046875,61734.73046875,63324.27274816176,65289.99140625,2359.264310042581,3286.3234971952124
2024-05-03,62889.8359375,63320.50390625,58848.3125,59122.30078125,33172023048,739009,4472.19140625,-3767.53515625,61611.08984375,63270.03584558824,65186.95885416667,2256.148813282713,3312.2696823260862
2024-05-04,63891.47265625,64494.95703125,62599.3515625,62891.03125,20620477992,739010,1895.60546875,-1000.44140625,61678.56584821428,63423.846507352944,65033.046484375,2325.2409148222105,3259.445043232953
2024-05-05,64031.1328125,64610.890625,62955.3046875,63892.453125,18296164805,739011,1655.5859375,-138.6796875,61809.69475446428,63454.339384191175,64906.162890625,2442.553891914183,3220.358606221034
2024-05-06,63161.94921875,65494.90234375,62746.23828125,64038.3125,28697928697,739012,2748.6640625,876.36328125,61712.670200892855,63414.244025735294,64715.02421875,2360.5232437497652,3144.6570212389165
2024-05-07,62334.81640625,64390.45703125,62285.98046875,63162.76171875,25930730982,739013,2104.4765625,827.9453125,61955.236049107145,63257.79549632353,64480.766276041664,2318.4132912260893,3046.7433824504183
2024-05-08,61187.94140625,62986.0859375,60877.12890625,62332.640625,26088172222,739014,2108.95703125,1144.69921875,62374.368861607145,63037.87178308824,64132.65234375,1727.725598261731,2787.1189337628234
